latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count,land_cover_class,land_cover_name,label
21.63172,82.19792,331.97,0.4,0.37,2025-02-07,748,N,VIIRS,l,2,306.47,1.82,D,0,2,40.0,Cropland,0
21.75728,84.02263,341.02,0.55,0.51,2025-03-10,806,N,VIIRS,n,2,311.47,6.09,D,2,252,,Unknown,1
21.37121,81.89761,346.9,0.4,0.44,2025-03-07,722,N,VIIRS,n,2,315.23,5.46,D,0,1,40.0,Cropland,0
18.10896,73.25797,332.83,0.48,0.4,2025-02-06,806,N,VIIRS,l,2,303.96,4.91,D,0,1,10.0,Tree cover,0
16.8553,78.2164,340.8,0.43,0.38,2025-02-27,811,N,VIIRS,l,2,312.83,3.56,D,0,1,40.0,Cropland,0
16.59773,77.47217,340.69,0.41,0.37,2025-01-26,811,N,VIIRS,n,2,309.95,2.75,D,0,1,40.0,Cropland,0
24.16526,82.62849,338.85,0.62,0.72,2025-01-25,832,N,VIIRS,n,2,303.12,6.39,D,0,118,,Unknown,1
22.92641,83.72663,340.49,0.4,0.37,2025-03-12,729,N,VIIRS,l,2,313.26,4.2,D,0,1,10.0,Tree cover,0
21.92373,83.35204,336.28,0.42,0.37,2025-02-08,729,N,VIIRS,l,2,309.67,6.21,D,2,390,60.0,Bare/sparse vegetation,1
19.10072,73.0537,316.62,0.51,0.41,2025-02-26,2101,N,VIIRS,n,2,293.64,1.25,N,2,121,50.0,Built-up,1
13.90825,78.46603,343.65,0.49,0.4,2025-02-16,817,N,VIIRS,l,2,316.05,5.17,D,0,1,40.0,Cropland,0
21.86029,83.96628,303.93,0.45,0.47,2025-02-17,2029,N,VIIRS,n,2,291.4,1.45,N,2,50,50.0,Built-up,1
23.62596,83.78018,337.05,0.43,0.62,2025-03-30,651,N,VIIRS,l,2,308.68,2.99,D,0,1,10.0,Tree cover,0
22.37726,87.27987,337.5,0.52,0.42,2025-02-04,704,N,VIIRS,n,2,307.83,6.05,D,2,279,,Unknown,1
21.35452,81.7522,345.31,0.39,0.36,2025-02-23,747,N,VIIRS,n,2,313.59,4.73,D,0,1,40.0,Cropland,0
16.91163,78.86533,330.18,0.37,0.58,2025-03-03,836,N,VIIRS,l,2,304.47,2.23,D,0,1,30.0,Grassland,0
22.04275,83.72949,340.27,0.52,0.5,2025-03-26,2034,N,VIIRS,n,2,299.54,8.42,N,2,440,30.0,Grassland,1
21.18792,81.39086,330.17,0.42,0.38,2025-01-28,2004,N,VIIRS,n,2,294.72,3.35,N,2,109,50.0,Built-up,1
17.43593,77.9474,341.62,0.51,0.41,2025-03-27,746,N,VIIRS,n,2,315.75,5.94,D,0,1,40.0,Cropland,0
18.68101,73.032,304.03,0.52,0.41,2025-02-10,2102,N,VIIRS,n,2,293.36,1.48,N,2,87,50.0,Built-up,1
22.10516,83.12176,301.02,0.4,0.44,2025-01-13,1945,N,VIIRS,n,2,289.89,1.68,N,2,35,50.0,Built-up,1
22.13081,83.5825,333.02,0.37,0.58,2025-03-19,657,N,VIIRS,n,2,302.73,3.66,D,0,1,10.0,Tree cover,0
23.55911,87.24203,332.73,0.4,0.6,2025-02-16,639,N,VIIRS,n,2,300.07,8.04,D,2,247,,Unknown,1
16.88257,77.45207,347.03,0.46,0.39,2025-03-16,752,N,VIIRS,n,2,320.96,8.44,D,0,1,40.0,Cropland,0
17.65084,76.28856,337.0,0.51,0.66,2025-03-18,855,N,VIIRS,l,2,310.97,6.16,D,0,1,40.0,Cropland,0
15.17844,76.65704,338.07,0.43,0.38,2025-02-17,758,N,VIIRS,l,2,310.94,5.57,D,2,187,60.0,Bare/sparse vegetation,1
23.7796,86.21033,342.44,0.41,0.45,2025-03-11,748,N,VIIRS,l,2,314.05,8.98,D,2,324,,Unknown,1
18.68404,73.0385,342.0,0.51,0.49,2025-03-16,753,N,VIIRS,n,2,305.8,7.92,D,2,119,50.0,Built-up,1
23.56971,82.09197,342.59,0.34,0.56,2025-03-20,819,N,VIIRS,n,2,301.42,8.61,D,0,1,10.0,Tree cover,0
23.20624,83.66457,299.97,0.39,0.44,2025-03-18,1944,N,VIIRS,n,2,288.79,0.79,N,0,2,30.0,Grassland,0
22.50369,83.40906,340.05,0.39,0.36,2025-03-06,741,N,VIIRS,l,2,312.41,2.64,D,0,1,40.0,Cropland,0
17.4946,76.97485,341.59,0.38,0.36,2025-01-21,805,N,VIIRS,n,2,315.55,2.7,D,0,1,40.0,Cropland,0
15.0206,78.01529,308.41,0.44,0.62,2025-02-25,1941,N,VIIRS,n,2,294.67,1.89,N,2,38,50.0,Built-up,1
22.48433,83.0679,341.87,0.39,0.36,2025-03-06,741,N,VIIRS,n,2,309.09,3.43,D,0,1,10.0,Tree cover,0
22.04551,83.72675,319.35,0.67,0.74,2025-02-10,2100,N,VIIRS,n,2,289.26,9.76,N,2,87,30.0,Grassland,1
22.0432,83.73067,349.72,0.53,0.5,2025-03-10,2035,N,VIIRS,n,2,303.7,11.92,N,2,440,60.0,Bare/sparse vegetation,1
22.04258,83.73655,345.9,0.45,0.47,2025-01-08,710,N,VIIRS,n,2,314.15,12.42,D,2,243,60.0,Bare/sparse vegetation,1
10.01365,77.27737,306.76,0.41,0.45,2025-02-24,2001,N,VIIRS,n,2,289.65,0.68,N,0,2,30.0,Grassland,0
15.18111,76.65649,301.9,0.33,0.55,2025-01-25,2102,N,VIIRS,n,2,291.24,1.77,N,2,187,50.0,Built-up,1
15.33454,76.28551,315.1,0.55,0.42,2025-03-22,2011,N,VIIRS,n,2,296.59,2.66,N,2,33,50.0,Built-up,1
21.18821,81.39225,309.41,0.39,0.44,2025-01-02,1951,N,VIIRS,n,2,289.81,1.65,N,2,109,50.0,Built-up,1
17.58429,77.21648,340.97,0.4,0.37,2025-03-05,759,N,VIIRS,l,2,314.68,3.38,D,0,2,40.0,Cropland,0
21.38242,83.67834,334.87,0.44,0.38,2025-01-22,747,N,VIIRS,n,2,306.38,4.23,D,0,2,40.0,Cropland,0
22.35162,82.29289,342.43,0.44,0.46,2025-03-02,716,N,VIIRS,n,2,308.01,5.9,D,2,101,40.0,Cropland,1
18.68144,73.0324,303.18,0.64,0.72,2025-03-28,2138,N,VIIRS,n,2,292.13,3.17,N,2,87,50.0,Built-up,1
20.96309,85.17363,341.18,0.39,0.36,2025-02-13,735,N,VIIRS,l,2,313.43,5.28,D,2,176,,Unknown,1
21.92095,83.35117,334.91,0.52,0.67,2025-01-04,825,N,VIIRS,n,2,304.9,5.21,D,2,390,50.0,Built-up,1
23.68082,81.73103,332.84,0.44,0.38,2025-03-16,754,N,VIIRS,l,2,303.62,4.84,D,0,2,10.0,Tree cover,0
13.5168,79.37236,343.21,0.39,0.36,2025-03-26,803,N,VIIRS,n,2,311.67,11.58,D,0,2,10.0,Tree cover,0
21.1821,81.3811,316.01,0.39,0.36,2025-01-01,2010,N,VIIRS,n,2,289.36,1.08,N,2,46,50.0,Built-up,1
22.32515,82.65806,302.88,0.41,0.37,2025-01-06,2016,N,VIIRS,n,2,290.21,0.53,N,2,1,10.0,Tree cover,0
20.78904,85.26208,331.78,0.42,0.61,2025-01-26,812,N,VIIRS,n,2,299.86,5.36,D,2,248,,Unknown,1
16.6981,76.49566,343.27,0.41,0.45,2025-02-07,746,N,VIIRS,n,2,309.69,20.71,D,0,2,30.0,Grassland,0
12.66559,78.74796,334.03,0.38,0.59,2025-03-29,1941,N,VIIRS,n,2,296.7,3.42,N,0,1,10.0,Tree cover,0
21.3994,82.93143,333.77,0.43,0.38,2025-02-08,729,N,VIIRS,n,2,307.12,2.03,D,0,2,40.0,Cropland,0
17.3142,77.15998,306.44,0.42,0.38,2025-02-22,2037,N,VIIRS,n,2,290.87,0.48,N,0,1,40.0,Cropland,0
18.72063,79.5391,342.62,0.39,0.36,2025-03-16,753,N,VIIRS,l,2,316.77,6.04,D,2,123,,Unknown,1
22.78984,86.20159,336.48,0.42,0.38,2025-01-13,716,N,VIIRS,n,2,298.35,7.4,D,2,220,,Unknown,1
21.37786,81.68094,311.78,0.39,0.36,2025-03-06,2010,N,VIIRS,n,2,294.24,2.16,N,2,107,50.0,Built-up,1
