latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count
25.75877,92.45898,331.16,0.53,0.42,2025-03-02,717,N,VIIRS,n,2,300.04,5.68,D,0,1
23.82947,84.93461,316.4,0.5,0.41,2025-03-02,1944,N,VIIRS,n,2,292.63,1.99,N,2,162
22.32323,82.56214,307.39,0.41,0.37,2025-02-07,2016,N,VIIRS,n,2,291.86,1.54,N,2,87
25.09213,73.66128,305.26,0.38,0.36,2025-03-20,2047,N,VIIRS,n,2,289.98,0.54,N,0,2
18.31998,79.96948,331.43,0.38,0.36,2025-01-11,753,N,VIIRS,n,2,301.23,1.22,D,0,2
21.76001,84.02696,300.7,0.58,0.52,2025-02-06,2035,N,VIIRS,n,2,290.01,1.87,N,2,55
13.97331,77.96635,305.5,0.42,0.45,2025-02-24,2000,N,VIIRS,n,2,292.19,1.29,N,0,2
20.47328,79.79527,342.42,0.57,0.52,2025-03-25,824,N,VIIRS,n,2,311.41,9.8,D,0,1
20.36304,83.21951,332.18,0.54,0.51,2025-03-29,709,N,VIIRS,l,2,305.67,4.76,D,0,2
20.98011,85.13382,309.35,0.4,0.37,2025-03-17,2003,N,VIIRS,n,2,292.75,1.72,N,2,201
23.68605,86.38956,308.55,0.71,0.75,2025-01-04,2053,N,VIIRS,n,2,287.65,3.99,N,2,235
24.63283,93.7038,345.11,0.77,0.77,2025-02-28,754,N,VIIRS,n,2,288.29,15.77,D,0,2
